Country,Region,Year,Happiness Rank,Happiness Score,Economy,Family,Freedom,Health,Generosity,Trust
Switzerland,Western Europe,2015,1,7.5870000000000015,1.39651,1.34951,0.66557,0.94143,0.29678000000000004,0.41978
Iceland,Western Europe,2015,2,7.561,1.30232,1.40223,0.6287699999999999,0.94784,0.4363,0.14145
Denmark,Western Europe,2015,3,7.527,1.32548,1.36058,0.6493800000000001,0.87464,0.34139,0.48357
Norway,Western Europe,2015,4,7.522,1.459,1.33095,0.66973,0.88521,0.34699,0.36503
Canada,North America,2015,5,7.427,1.32629,1.32261,0.63297,0.90563,0.45811,0.32957
Finland,Western Europe,2015,6,7.4060000000000015,1.29025,1.31826,0.64169,0.8891100000000001,0.23351,0.41372
Netherlands,Western Europe,2015,7,7.377999999999999,1.32944,1.28017,0.6157600000000001,0.89284,0.4761,0.31814000000000003
Sweden,Western Europe,2015,8,7.364,1.33171,1.2890700000000002,0.6598,0.91087,0.36262,0.43844
New Zealand,Australia and New Zealand,2015,9,7.286,1.2501799999999998,1.31967,0.6393800000000001,0.90837,0.47501,0.42922
Australia,Australia and New Zealand,2015,10,7.284,1.33358,1.30923,0.6512399999999999,0.93156,0.43562,0.35637
Israel,Middle East and Northern Africa,2015,11,7.278,1.2285700000000002,1.22393,0.41319,0.91387,0.33172,0.07785
Costa Rica,Latin America and Caribbean,2015,12,7.226,0.95578,1.23788,0.63376,0.8602700000000001,0.25497,0.10583
Austria,Western Europe,2015,13,7.2,1.33723,1.29704,0.62433,0.8904200000000001,0.33088,0.18676
Mexico,Latin America and Caribbean,2015,14,7.187,1.02054,0.91451,0.48181,0.8144399999999999,0.14074,0.21312
United States,North America,2015,15,7.119,1.39451,1.24711,0.54604,0.86179,0.40105,0.1589
Brazil,Latin America and Caribbean,2015,16,6.983,0.98124,1.23287,0.49049,0.69702,0.14574,0.17521
Luxembourg,Western Europe,2015,17,6.9460000000000015,1.56391,1.21963,0.61583,0.91894,0.28034000000000003,0.37798
Ireland,Western Europe,2015,18,6.94,1.33596,1.36948,0.6177699999999999,0.89533,0.45901,0.28703
Belgium,Western Europe,2015,19,6.937,1.30782,1.28566,0.5845,0.8966700000000001,0.2225,0.2254
United Arab Emirates,Middle East and Northern Africa,2015,20,6.901,1.42727,1.12575,0.64157,0.80925,0.26428,0.38583
United Kingdom,Western Europe,2015,21,6.867000000000001,1.26637,1.28548,0.59625,0.90943,0.51912,0.32067
Oman,Middle East and Northern Africa,2015,22,6.853,1.36011,1.08182,0.63274,0.76276,0.21542,0.32524000000000003
Venezuela,Latin America and Caribbean,2015,23,6.81,1.04424,1.25596,0.42908,0.7205199999999999,0.05841,0.11069
Singapore,Southeastern Asia,2015,24,6.797999999999999,1.52186,1.02,0.54252,1.02525,0.31105,0.4921
Panama,Latin America and Caribbean,2015,25,6.7860000000000005,1.06353,1.1985,0.5421,0.79661,0.24434,0.0927
Germany,Western Europe,2015,26,6.75,1.32792,1.29937,0.6147699999999999,0.89186,0.28214,0.21843
Chile,Latin America and Caribbean,2015,27,6.67,1.10715,1.12447,0.44132,0.85857,0.33363000000000004,0.12869
Qatar,Middle East and Northern Africa,2015,28,6.6110000000000015,1.69042,1.0786,0.6404,0.79733,0.32573,0.52208
France,Western Europe,2015,29,6.575,1.27778,1.2603799999999998,0.55011,0.94579,0.12332,0.20646
Argentina,Latin America and Caribbean,2015,30,6.574,1.05351,1.24823,0.44974,0.78723,0.11451,0.08484
Czech Republic,Central and Eastern Europe,2015,31,6.505,1.17898,1.20643,0.46364,0.84483,0.10686,0.02652
Uruguay,Latin America and Caribbean,2015,32,6.485,1.06166,1.2089,0.6036199999999999,0.8116,0.2324,0.24558
Colombia,Latin America and Caribbean,2015,33,6.477,0.91861,1.2401799999999998,0.53466,0.69077,0.18401,0.0512
Thailand,Southeastern Asia,2015,34,6.455,0.9669,1.26504,0.5566399999999999,0.7385,0.5763,0.03187
Saudi Arabia,Middle East and Northern Africa,2015,35,6.4110000000000005,1.39541,1.0839299999999998,0.31048000000000003,0.72025,0.13706,0.32524000000000003
Spain,Western Europe,2015,36,6.329,1.23011,1.31379,0.45951,0.95562,0.18227,0.06398
Malta,Western Europe,2015,37,6.3020000000000005,1.2074,1.30203,0.60365,0.88721,0.51752,0.13585999999999998
Taiwan,Eastern Asia,2015,38,6.297999999999999,1.29098,1.07617,0.3974,0.8753,0.25376,0.08129
Kuwait,Middle East and Northern Africa,2015,39,6.295,1.5542200000000002,1.16594,0.55499,0.72492,0.16228,0.25609
